2026-05-28 04:48:27,110 | PipelineRunner | INFO | Building the pipeline
2026-05-28 04:48:27,113 | Pipelinebuilder | INFO | loading the cv and the scoring parameters from the config file
2026-05-28 04:48:27,113 | Pipelinebuilder | INFO | Successfully loaded the parameters from the config file
2026-05-28 04:48:27,113 | Pipelinebuilder | INFO | Building the decision tree pipeline
2026-05-28 04:48:27,113 | Pipelinebuilder | INFO | Successfully built the decision tree pipeline
2026-05-28 04:48:27,113 | Pipelinebuilder | INFO | loading the parameter grid configuration for the grid search
2026-05-28 04:48:27,114 | Pipelinebuilder | INFO | Successfully loaded the parameter grid configuration
2026-05-28 04:48:27,114 | Pipelinebuilder | INFO | Setting up the GridSearchCV for the decision tree pipeline
2026-05-28 04:48:27,114 | Pipelinebuilder | INFO | Successfully set up the GridSearchCV for the decision tree pipeline
2026-05-28 04:48:27,114 | Pipelinebuilder | INFO | Successfully created the GridSearchCV for the decision tree pipeline
2026-05-28 04:48:27,115 | PipelineRunner | INFO | Pipeline build has been completed
2026-05-28 04:48:27,115 | PipelineRunner | INFO | Training the model and the pipeline with the data
2026-05-28 04:48:27,117 | Training | INFO | Training the model
2026-05-28 04:48:27,117 | Training | INFO | Fitting the data into the model
2026-05-28 04:48:29,995 | Training | INFO | Getting the best model
2026-05-28 04:48:29,995 | Training | INFO | Testing the best model
2026-05-28 04:48:29,996 | Training | INFO | Testing has been completed
2026-05-28 04:48:29,996 | Training | INFO | Retrieveing the path to save the model
2026-05-28 04:48:29,997 | Training | INFO | Model path exists and proceeding to save the model
2026-05-28 04:48:30,000 | Training | INFO | Model has been successfully saved
2026-05-28 04:48:30,000 | Training | INFO | Calculating the accuracy
2026-05-28 04:48:30,001 | Training | INFO | Accuracy has been saved to the file in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/accuracy.txt
2026-05-28 04:48:30,001 | Training | INFO | Generating the classification report
2026-05-28 04:48:30,005 | Training | INFO | Classification report has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/classification_report.txt
2026-05-28 04:48:30,006 | Training | INFO | Calculating the recall score
2026-05-28 04:48:30,007 | Training | INFO | Recall score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/recall.txt
2026-05-28 04:48:30,007 | Training | INFO | Calculating the precision score
2026-05-28 04:48:30,009 | Training | INFO | Precision score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/precision.txt
2026-05-28 04:48:30,009 | Training | INFO | Calculating the F1 score
2026-05-28 04:48:30,011 | Training | INFO | F1 score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/f1.txt
2026-05-28 04:48:30,012 | Training | INFO | Generating confusion matrix
2026-05-28 04:48:30,198 | Training | INFO | Confusion matrix has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/confusion_matrix.png
2026-05-28 04:48:30,199 | PipelineRunner | INFO | Model training has been completed
2026-05-28 04:48:30,199 | PipelineRunner | INFO | Testing the model
2026-05-28 04:48:30,199 | Testing | INFO | Starting model testing
2026-05-28 04:48:30,203 | Testing | INFO | Test dataset created with 10 samples
2026-05-28 04:48:30,203 | Testing | INFO | Looking for model file at: E:\PythonCertificates\Network Anaomoly detection\pipeline\models/network_anomaly_model.pkl
2026-05-28 04:48:30,214 | Testing | INFO | Model loaded successfully
2026-05-28 04:48:30,215 | Testing | INFO | Predictions generated successfully
2026-05-28 04:48:30,218 | Testing | INFO | Test cases saved to: E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/test_cases.csv
